variable,n,mean,std,min,Q1,median,Q3,max,IQR,outliers_count,outliers_%,skewness,shapiro_p,is_normal(p>0.05)
fixed acidity,1599,8.3196,1.7411,4.6,7.1,7.9,9.2,15.9,2.1,49,3.06,0.9828,0.0,False
volatile acidity,1599,0.5278,0.1791,0.12,0.39,0.52,0.64,1.58,0.25,19,1.19,0.6716,0.0,False
citric acid,1599,0.271,0.1948,0.0,0.09,0.26,0.42,1.0,0.33,1,0.06,0.3183,0.0,False
residual sugar,1599,2.5388,1.4099,0.9,1.9,2.2,2.6,15.5,0.7,155,9.69,4.5407,0.0,False
chlorides,1599,0.0875,0.0471,0.012,0.07,0.079,0.09,0.611,0.02,112,7.0,5.6803,0.0,False
free sulfur dioxide,1599,15.8749,10.4602,1.0,7.0,14.0,21.0,72.0,14.0,30,1.88,1.2506,0.0,False
total sulfur dioxide,1599,46.4678,32.8953,6.0,22.0,38.0,62.0,289.0,40.0,55,3.44,1.5155,0.0,False
density,1599,0.9967,0.0019,0.9901,0.9956,0.9968,0.9978,1.0037,0.0022,45,2.81,0.0713,0.0,False
pH,1599,3.3111,0.1544,2.74,3.21,3.31,3.4,4.01,0.19,35,2.19,0.1937,2e-06,False
sulphates,1599,0.6581,0.1695,0.33,0.55,0.62,0.73,2.0,0.18,59,3.69,2.4287,0.0,False
alcohol,1599,10.423,1.0657,8.4,9.5,10.2,11.1,14.9,1.6,13,0.81,0.8608,0.0,False
quality,1599,5.636,0.8076,3.0,5.0,6.0,6.0,8.0,1.0,28,1.75,0.2178,0.0,False
