variable,n,mean,std,min,Q1,median,Q3,max,IQR,outliers_count,outliers_%,skewness,shapiro_p,is_normal(p>0.05)
fixed acidity,4898,6.8548,0.8439,3.8,6.3,6.8,7.3,14.2,1.0,119,2.43,0.6478,0.0,False
volatile acidity,4898,0.2782,0.1008,0.08,0.21,0.26,0.32,1.1,0.11,186,3.8,1.577,0.0,False
citric acid,4898,0.3342,0.121,0.0,0.27,0.32,0.39,1.66,0.12,270,5.51,1.2819,0.0,False
residual sugar,4898,6.3914,5.0721,0.6,1.7,5.2,9.9,65.8,8.2,7,0.14,1.0771,0.0,False
chlorides,4898,0.0458,0.0218,0.009,0.036,0.043,0.05,0.346,0.014,208,4.25,5.0233,0.0,False
free sulfur dioxide,4898,35.3081,17.0071,2.0,23.0,34.0,46.0,289.0,23.0,50,1.02,1.4067,0.0,False
total sulfur dioxide,4898,138.3607,42.4981,9.0,108.0,134.0,167.0,440.0,59.0,19,0.39,0.3907,0.0,False
density,4898,0.994,0.003,0.9871,0.9917,0.9937,0.9961,1.039,0.0044,5,0.1,0.9778,0.0,False
pH,4898,3.1883,0.151,2.72,3.09,3.18,3.28,3.82,0.19,75,1.53,0.4578,0.0,False
sulphates,4898,0.4898,0.1141,0.22,0.41,0.47,0.55,1.08,0.14,124,2.53,0.9772,0.0,False
alcohol,4898,10.5143,1.2306,8.0,9.5,10.4,11.4,14.2,1.9,0,0.0,0.4873,0.0,False
quality,4898,5.8779,0.8856,3.0,5.0,6.0,6.0,9.0,1.0,200,4.08,0.1558,0.0,False
